Name,Source,Size,Type,Alignment,AC,HP,Speed,STR,DEX,CON,INT,WIS,CHA,Save,Skill,Passive Perception,Languages,CR,Traits,Actions,Bonus Actions,Reactions,Legendary Actions,Spellcasting
Aboleth,XMM,"[""L""]",aberration,"[""L"", ""E""]",[17],"{""average"": 150, ""formula"": ""20d10 + 40""}","{""walk"": 10, ""swim"": 40}",21,9,15,18,15,18,"{""dex"": ""+3"", ""con"": ""+6"", ""int"": ""+8"", ""wis"": ""+6""}","{""history"": ""+12"", ""perception"": ""+10""}",20,"[""Deep Speech; telepathy 120 ft.""]","{""cr"": ""10"", ""xpLair"": 7200}","[{""name"": ""Amphibious"", ""entries"": [""The aboleth can breathe air and water.""]}, {""name"": ""Eldritch Restoration"", ""entries"": [""If destroyed, the aboleth gains a new body in {@dice 5d10} days, reviving with all its {@variantrule Hit Points|XPHB} in the Far Realm or another location chosen by the DM.""]}, {""name"": ""Legendary Resistance (3/Day, or 4/Day in Lair)"", ""entries"": [""If the aboleth fails a saving throw, it can choose to succeed instead.""]}, {""name"": ""Mucus Cloud"", ""entries"": [""While underwater, the aboleth is surrounded by mucus. {@actSave con} {@dc 14}, each creature in a 5-foot {@variantrule Emanation [Area of Effect]|XPHB|Emanation} originating from the aboleth at the end of the aboleth's turn. {@actSaveFail} The target is cursed. Until the curse ends, the target's skin becomes slimy, the target can breathe air and water, and it can't regain {@variantrule Hit Points|XPHB} unless it is underwater."", ""While the cursed creature is outside a body of water, the creature takes 6 ({@damage 1d12}) Acid damage at the end of every 10 minutes unless moisture is applied to its skin before those minutes have passed.""]}, {""name"": ""Probing Telepathy"", ""entries"": [""If a creature the aboleth can see communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The aboleth makes two Tentacle attacks and uses either Consume Memories or Dominate Mind if available.""]}, {""name"": ""Tentacle"", ""entries"": [""{@atkr m} {@hit 9}, reach 15 ft. {@h}12 ({@damage 2d6 + 5}) Bludgeoning damage. If the target is a Large or smaller creature, it has the {@condition Grappled|XPHB} condition (escape {@dc 14}) from one of four tentacles.""]}, {""name"": ""Consume Memories"", ""entries"": [""{@actSave int} {@dc 16}, one creature within 30 feet that is {@condition Charmed|XPHB} or {@condition Grappled|XPHB} by the aboleth. {@actSaveFail} 10 ({@damage 3d6}) Psychic damage. {@actSaveSuccess} Half damage. {@actSaveSuccessOrFail} The aboleth gains the target's memories if the target is a Humanoid and is reduced to 0 {@variantrule Hit Points|XPHB} by this action.""]}, {""name"": ""Dominate Mind (2/Day)"", ""entries"": [""{@actSave wis} {@dc 16}, one creature the aboleth can see within 30 feet. {@actSaveFail} The target has the {@condition Charmed|XPHB} condition until the aboleth dies or is on a different plane of existence from the target. While {@condition Charmed|XPHB}, the target acts as an ally to the aboleth and is under its control while within 60 feet of it. In addition, the aboleth and the target can communicate telepathically with each other over any distance."", ""The target repeats the save whenever it takes damage as well as after every 24 hours it spends at least 1 mile away from the aboleth, ending the effect on itself on a success.""]}]",,,"[{""name"": ""Lash"", ""entries"": [""The aboleth makes one Tentacle attack.""]}, {""name"": ""Psychic Drain"", ""entries"": [""If the aboleth has at least one creature {@condition Charmed|XPHB} or {@condition Grappled|XPHB}, it uses Consume Memories and regains 5 ({@dice 1d10}) {@variantrule Hit Points|XPHB}.""]}]",
Adult Black Dragon,XMM,"[""H""]","{""type"": ""dragon"", ""tags"": [""chromatic""]}","[""C"", ""E""]",[19],"{""average"": 195, ""formula"": ""17d12 + 85""}","{""walk"": 40, ""fly"": 80, ""swim"": 40}",23,14,21,14,13,19,"{""dex"": ""+7"", ""wis"": ""+6""}","{""perception"": ""+11"", ""stealth"": ""+7""}",21,"[""Common"", ""Draconic""]","{""cr"": ""14"", ""xpLair"": 13000}","[{""name"": ""Amphibious"", ""entries"": [""The dragon can breathe air and water.""]}, {""name"": ""Legendary Resistance (3/Day, or 4/Day in Lair)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast {@spell Melf's Acid Arrow|XPHB} (level 3 version).""]}, {""name"": ""Rend"", ""entries"": [""{@atkr m} {@hit 11}, reach 10 ft. {@h}13 ({@damage 2d6 + 6}) Slashing damage plus 4 ({@damage 1d8}) Acid damage.""]}, {""name"": ""Acid Breath {@recharge 5}"", ""entries"": [""{@actSave dex} {@dc 18}, each creature in a 60-foot-long, 5-foot-wide {@variantrule Line [Area of Effect]|XPHB|Line}. {@actSaveFail} 54 ({@damage 12d8}) Acid damage. {@actSaveSuccess} Half damage.""]}]",,,"[{""name"": ""Cloud of Insects"", ""entries"": [""{@actSave dex} {@dc 17}, one creature the dragon can see within 120 feet. {@actSaveFail} 22 ({@damage 4d10}) Poison damage, and the target has {@variantrule Disadvantage|XPHB} on saving throws to maintain {@status Concentration|XPHB} until the end of its next turn. {@actSaveSuccessOrFail} The dragon can't take this action again until the start of its next turn.""]}, {""name"": ""Frightful Presence"", ""entries"": [""The dragon uses Spellcasting to cast {@spell Fear|XPHB}. The dragon can't take this action again until the start of its next turn.""]}, {""name"": ""Pounce"", ""entries"": [""The dragon can move up to half its {@variantrule Speed|XPHB}, and it makes one Rend attack.""]}]","[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save {@dc 17}, {@hit 9} to hit with spell attacks):""], ""will"": [""{@spell Detect Magic|XPHB}"", ""{@spell Fear|XPHB}"", ""{@spell Melf's Acid Arrow|XPHB} (level 3 version)""], ""daily"": {""1e"": [""{@spell Speak with Dead|XPHB}"", ""{@spell Vitriolic Sphere|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""action""}]"
Adult Blue Dragon,XMM,"[""H""]","{""type"": ""dragon"", ""tags"": [""chromatic""]}","[""L"", ""E""]",[19],"{""average"": 212, ""formula"": ""17d12 + 102""}","{""walk"": 40, ""burrow"": 30, ""fly"": 80}",25,10,23,16,15,20,"{""dex"": ""+5"", ""wis"": ""+7""}","{""perception"": ""+12"", ""stealth"": ""+5""}",22,"[""Common"", ""Draconic""]","{""cr"": ""16"", ""xpLair"": 18000}","[{""name"": ""Legendary Resistance (3/Day, or 4/Day in Lair)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast {@spell Shatter|XPHB}.""]}, {""name"": ""Rend"", ""entries"": [""{@atkr m} {@hit 12}, reach 10 ft. {@h}16 ({@damage 2d8 + 7}) Slashing damage plus 5 ({@damage 1d10}) Lightning damage.""]}, {""name"": ""Lightning Breath {@recharge 5}"", ""entries"": [""{@actSave dex} {@dc 19}, each creature in a 90-foot-long, 5-foot-wide {@variantrule Line [Area of Effect]|XPHB|Line}. {@actSaveFail} 60 ({@damage 11d10}) Lightning damage. {@actSaveSuccess} Half damage.""]}]",,,"[{""name"": ""Cloaked Flight"", ""entries"": [""The dragon uses Spellcasting to cast {@spell Invisibility|XPHB} on itself, and it can fly up to half its {@variantrule Fly Speed|XPHB}. The dragon can't take this action again until the start of its next turn.""]}, {""name"": ""Sonic Boom"", ""entries"": [""The dragon uses Spellcasting to cast {@spell Shatter|XPHB}. The dragon can't take this action again until the start of its next turn.""]}, {""name"": ""Tail Swipe"", ""entries"": [""The dragon makes one Rend attack.""]}]","[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save {@dc 18}):""], ""will"": [""{@spell Detect Magic|XPHB}"", ""{@spell Invisibility|XPHB}"", ""{@spell Mage Hand|XPHB}"", ""{@spell Shatter|XPHB}""], ""daily"": {""1e"": [""{@spell Scrying|XPHB}"", ""{@spell Sending|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""action""}]"
Adult Brass Dragon,XMM,"[""H""]","{""type"": ""dragon"", ""tags"": [""metallic""]}","[""C"", ""G""]",[18],"{""average"": 172, ""formula"": ""15d12 + 75""}","{""walk"": 40, ""burrow"": 30, ""fly"": 80}",23,10,21,14,13,17,"{""dex"": ""+5"", ""wis"": ""+6""}","{""history"": ""+7"", ""perception"": ""+11"", ""persuasion"": ""+8"", ""stealth"": ""+5""}",21,"[""Common"", ""Draconic""]","{""cr"": ""13"", ""xpLair"": 11500}","[{""name"": ""Legendary Resistance (3/Day, or 4/Day in Lair)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon makes three Rend attacks. It can replace one attack with a use of (A) Sleep Breath or (B) Spellcasting to cast {@spell Scorching Ray|XPHB}.""]}, {""name"": ""Rend"", ""entries"": [""{@atkr m} {@hit 11}, reach 10 ft. {@h}17 ({@damage 2d10 + 6}) Slashing damage plus 4 ({@damage 1d8}) Fire damage.""]}, {""name"": ""Fire Breath {@recharge 5}"", ""entries"": [""{@actSave dex} {@dc 18}, each creature in a 60-foot-long, 5-foot-wide {@variantrule Line [Area of Effect]|XPHB|Line}. {@actSaveFail} 45 ({@damage 10d8}) Fire damage. {@actSaveSuccess} Half damage.""]}, {""name"": ""Sleep Breath"", ""entries"": [""{@actSave con} {@dc 18}, each creature in a 60-foot {@variantrule Cone [Area of Effect]|XPHB|Cone}. {@actSaveFail} The target has the {@condition Incapacitated|XPHB} condition until the end of its next turn, at which point it repeats the save. {@actSaveFail 2} The target has the {@condition Unconscious|XPHB} condition for 10 minutes. This effect ends for the target if it takes damage or a creature within 5 feet of it takes an action to wake it.""]}]",,,"[{""name"": ""Blazing Light"", ""entries"": [""The dragon uses Spellcasting to cast {@spell Scorching Ray|XPHB}.""]}, {""name"": ""Pounce"", ""entries"": [""The dragon moves up to half its {@variantrule Speed|XPHB}, and it makes one Rend attack.""]}, {""name"": ""Scorching Sands"", ""entries"": [""{@actSave dex} {@dc 16}, one creature the dragon can see within 120 feet. {@actSaveFail} 27 ({@damage 6d8}) Fire damage, and the target's {@variantrule Speed|XPHB} is halved until the end of its next turn. {@actSaveSuccessOrFail} The dragon can't take this action again until the start of its next turn.""]}]","[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save {@dc 16}):""], ""will"": [""{@spell Detect Magic|XPHB}"", ""{@spell Minor Illusion|XPHB}"", ""{@spell Scorching Ray|XPHB}"", ""{@spell Shapechange|XPHB} (Beast or Humanoid form only, no {@variantrule Temporary Hit Points|XPHB} gained from the spell, and no Concentration or {@variantrule Temporary Hit Points|XPHB} required to maintain the spell)"", ""{@spell Speak with Animals|XPHB}""], ""daily"": {""1e"": [""{@spell Detect Thoughts|XPHB}"", ""{@spell Control Weather|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""action""}]"
Adult Bronze Dragon,XMM,"[""H""]","{""type"": ""dragon"", ""tags"": [""metallic""]}","[""L"", ""G""]",[18],"{""average"": 212, ""formula"": ""17d12 + 102""}","{""walk"": 40, ""fly"": 80, ""swim"": 40}",25,10,23,16,15,20,"{""dex"": ""+5"", ""wis"": ""+7""}","{""insight"": ""+7"", ""perception"": ""+12"", ""stealth"": ""+5""}",22,"[""Common"", ""Draconic""]","{""cr"": ""15"", ""xpLair"": 15000}","[{""name"": ""Amphibious"", ""entries"": [""The dragon can breathe air and water.""]}, {""name"": ""Legendary Resistance (3/Day, or 4/Day in Lair)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon makes three Rend attacks. It can replace one attack with a use of (A) Repulsion Breath or (B) Spellcasting to cast {@spell Guiding Bolt|XPHB} (level 2 version).""]}, {""name"": ""Rend"", ""entries"": [""{@atkr m} {@hit 12}, reach 10 ft. {@h}16 ({@damage 2d8 + 7}) Slashing damage plus 5 ({@damage 1d10}) Lightning damage.""]}, {""name"": ""Lightning Breath {@recharge 5}"", ""entries"": [""{@actSave dex} {@dc 19}, each creature in a 90-foot-long, 5-foot-wide {@variantrule Line [Area of Effect]|XPHB|Line}. {@actSaveFail} 55 ({@damage 10d10}) Lightning damage. {@actSaveSuccess} Half damage.""]}, {""name"": ""Repulsion Breath"", ""entries"": [""{@actSave str} {@dc 19}, each creature in a 30-foot {@variantrule Cone [Area of Effect]|XPHB|Cone}. {@actSaveFail} The target is pushed up to 60 feet straight away from the dragon and has the {@condition Prone|XPHB} condition.""]}]",,,"[{""name"": ""Guiding Light"", ""entries"": [""The dragon uses Spellcasting to cast {@spell Guiding Bolt|XPHB} (level 2 version).""]}, {""name"": ""Pounce"", ""entries"": [""The dragon moves up to half its {@variantrule Speed|XPHB}, and it makes one Rend attack.""]}, {""name"": ""Thunderclap"", ""entries"": [""{@actSave con} {@dc 17}, each creature in a 20-foot-radius {@variantrule Sphere [Area of Effect]|XPHB|Sphere} centered on a point the dragon can see within 90 feet. {@actSaveFail} 10 ({@damage 3d6}) Thunder damage, and the target has the {@condition Deafened|XPHB} condition until the end of its next turn.""]}]","[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save {@dc 17}, {@hit 10} to hit with spell attacks):""], ""will"": [""{@spell Detect Magic|XPHB}"", ""{@spell Guiding Bolt|XPHB} (level 2 version)"", ""{@spell Shapechange|XPHB} (Beast or Humanoid form only, no {@variantrule Temporary Hit Points|XPHB} gained from the spell, and no Concentration or {@variantrule Temporary Hit Points|XPHB} required to maintain the spell)"", ""{@spell Speak with Animals|XPHB}"", ""{@spell Thaumaturgy|XPHB}""], ""daily"": {""1e"": [""{@spell Detect Thoughts|XPHB}"", ""{@spell Water Breathing|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""action""}]"
Adult Copper Dragon,XMM,"[""H""]","{""type"": ""dragon"", ""tags"": [""metallic""]}","[""C"", ""G""]",[18],"{""average"": 184, ""formula"": ""16d12 + 80""}","{""walk"": 40, ""climb"": 40, ""fly"": 80}",23,12,21,18,15,18,"{""dex"": ""+6"", ""wis"": ""+7""}","{""deception"": ""+9"", ""perception"": ""+12"", ""stealth"": ""+6""}",22,"[""Common"", ""Draconic""]","{""cr"": ""14"", ""xpLair"": 13000}","[{""name"": ""Legendary Resistance (3/Day, or 4/Day in Lair)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon makes three Rend attacks. It can replace one attack with a use of (A) Slowing Breath or (B) Spellcasting to cast {@spell Mind Spike|XPHB} (level 4 version).""]}, {""name"": ""Rend"", ""entries"": [""{@atkr m} {@hit 11}, reach 10 ft. {@h}17 ({@damage 2d10 + 6}) Slashing damage plus 4 ({@damage 1d8}) Acid damage.""]}, {""name"": ""Acid Breath {@recharge 5}"", ""entries"": [""{@actSave dex} {@dc 18}, each creature in an 60-foot-long, 5-foot-wide {@variantrule Line [Area of Effect]|XPHB|Line}. {@actSaveFail} 54 ({@damage 12d8}) Acid damage. {@actSaveSuccess} Half damage.""]}, {""name"": ""Slowing Breath"", ""entries"": [""{@actSave con} {@dc 18}, each creature in a 60-foot {@variantrule Cone [Area of Effect]|XPHB|Cone}. {@actSaveFail} The target can't take Reactions; its {@variantrule Speed|XPHB} is halved; and it can take either an action or a {@variantrule Bonus Action|XPHB} on its turn, not both. This effect lasts until the end of its next turn.""]}]",,,"[{""name"": ""Giggling Magic"", ""entries"": [""{@actSave cha} {@dc 17}, one creature the dragon can see within 90 feet. {@actSaveFail} 24 ({@damage 7d6}) Psychic damage. Until the end of its next turn, the target rolls {@dice 1d6} whenever it makes an ability check or attack roll and subtracts the number rolled from the {@variantrule D20 Test|XPHB}. {@actSaveSuccessOrFail} The dragon can't take this action again until the start of its next turn.""]}, {""name"": ""Mind Jolt"", ""entries"": [""The dragon uses Spellcasting to cast {@spell Mind Spike|XPHB} (level 4 version). The dragon can't take this action again until the start of its next turn.""]}, {""name"": ""Pounce"", ""entries"": [""The dragon moves up to half its {@variantrule Speed|XPHB}, and it makes one Rend attack.""]}]","[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save {@dc 17}):""], ""will"": [""{@spell Detect Magic|XPHB}"", ""{@spell Mind Spike|XPHB} (level 4 version)"", ""{@spell Minor Illusion|XPHB}"", ""{@spell Shapechange|XPHB} (Beast or Humanoid form only, no {@variantrule Temporary Hit Points|XPHB} gained from the spell, and no Concentration or {@variantrule Temporary Hit Points|XPHB} required to maintain the spell)""], ""daily"": {""1e"": [""{@spell Greater Restoration|XPHB}"", ""{@spell Major Image|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""action""}]"
Adult Gold Dragon,XMM,"[""H""]","{""type"": ""dragon"", ""tags"": [""metallic""]}","[""L"", ""G""]",[19],"{""average"": 243, ""formula"": ""18d12 + 126""}","{""walk"": 40, ""fly"": 80, ""swim"": 40}",27,14,25,16,15,24,"{""dex"": ""+8"", ""wis"": ""+8""}","{""insight"": ""+8"", ""perception"": ""+14"", ""persuasion"": ""+13"", ""stealth"": ""+8""}",24,"[""Common"", ""Draconic""]","{""cr"": ""17"", ""xpLair"": 20000}","[{""name"": ""Amphibious"", ""entries"": [""The dragon can breathe air and water.""]}, {""name"": ""Legendary Resistance (3/Day, or 4/Day in Lair)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon makes three Rend attacks. It can replace one attack with a use of (A) Spellcasting to cast {@spell Guiding Bolt|XPHB} (level 2 version) or (B) Weakening Breath.""]}, {""name"": ""Rend"", ""entries"": [""{@atkr m} {@hit 14}, reach 10 ft. {@h}17 ({@damage 2d8 + 8}) Slashing damage plus 4 ({@damage 1d8}) Fire damage.""]}, {""name"": ""Fire Breath {@recharge 5}"", ""entries"": [""{@actSave dex} {@dc 21}, each creature in a 60-foot {@variantrule Cone [Area of Effect]|XPHB|Cone}. {@actSaveFail} 66 ({@damage 12d10}) Fire damage. {@actSaveSuccess} Half damage.""]}, {""name"": ""Weakening Breath"", ""entries"": [""{@actSave str} {@dc 21}, each creature that isn't currently affected by this breath in a 60-foot {@variantrule Cone [Area of Effect]|XPHB|Cone}. {@actSaveFail} The target has {@variantrule Disadvantage|XPHB} on Strength-based {@variantrule D20 Test|XPHB|D20 Tests} and subtracts 3 ({@dice 1d6}) from its damage rolls. It repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.""]}]",,,"[{""name"": ""Banish"", ""entries"": [""{@actSave cha} {@dc 21}, one creature the dragon can see within 120 feet. {@actSaveFail} 10 ({@damage 3d6}) Force damage, and the target has the {@condition Incapacitated|XPHB} condition and is transported to a harmless demiplane until the start of the dragon's next turn, at which point it reappears in an unoccupied space of the dragon's choice within 120 feet of the dragon. {@actSaveSuccessOrFail} The dragon can't take this action again until the start of its next turn.""]}, {""name"": ""Guiding Light"", ""entries"": [""The dragon uses Spellcasting to cast {@spell Guiding Bolt|XPHB} (level 2 version).""]}, {""name"": ""Pounce"", ""entries"": [""The dragon moves up to half its {@variantrule Speed|XPHB}, and it makes one Rend attack.""]}]","[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save {@dc 21}, {@hit 13} to hit with spell attacks):""], ""will"": [""{@spell Detect Magic|XPHB}"", ""{@spell Guiding Bolt|XPHB} (level 2 version)"", ""{@spell Shapechange|XPHB} (Beast or Humanoid form only, no {@variantrule Temporary Hit Points|XPHB} gained from the spell, and no Concentration or {@variantrule Temporary Hit Points|XPHB} required to maintain the spell)""], ""daily"": {""1e"": [""{@spell Flame Strike|XPHB}"", ""{@spell Zone of Truth|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""action""}]"
Adult Green Dragon,XMM,"[""H""]","{""type"": ""dragon"", ""tags"": [""chromatic""]}","[""L"", ""E""]",[19],"{""average"": 207, ""formula"": ""18d12 + 90""}","{""walk"": 40, ""fly"": 80, ""swim"": 40}",23,12,21,18,15,18,"{""dex"": ""+6"", ""wis"": ""+7""}","{""deception"": ""+9"", ""perception"": ""+12"", ""persuasion"": ""+9"", ""stealth"": ""+6""}",22,"[""Common"", ""Draconic""]","{""cr"": ""15"", ""xpLair"": 15000}","[{""name"": ""Amphibious"", ""entries"": [""The dragon can breathe air and water.""]}, {""name"": ""Legendary Resistance (3/Day, or 4/Day in Lair)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast {@spell Mind Spike|XPHB} (level 3 version).""]}, {""name"": ""Rend"", ""entries"": [""{@atkr m} {@hit 11}, reach 10 ft. {@h}15 ({@damage 2d8 + 6}) Slashing damage plus 7 ({@damage 2d6}) Poison damage.""]}, {""name"": ""Poison Breath {@recharge 5}"", ""entries"": [""{@actSave con} {@dc 18}, each creature in a 60-foot {@variantrule Cone [Area of Effect]|XPHB|Cone}. {@actSaveFail} 56 ({@damage 16d6}) Poison damage. {@actSaveSuccess} Half damage.""]}]",,,"[{""name"": ""Mind Invasion"", ""entries"": [""The dragon uses Spellcasting to cast {@spell Mind Spike|XPHB} (level 3 version).""]}, {""name"": ""Noxious Miasma"", ""entries"": [""{@actSave con} {@dc 17}, each creature in a 20-foot-radius {@variantrule Sphere [Area of Effect]|XPHB|Sphere} centered on a point the dragon can see within 90 feet. {@actSaveFail} 7 ({@damage 2d6}) Poison damage, and the target takes a -2 penalty to AC until the end of its next turn. {@actSaveSuccessOrFail} The dragon can't take this action again until the start of its next turn.""]}, {""name"": ""Pounce"", ""entries"": [""The dragon moves up to half its {@variantrule Speed|XPHB}, and it makes one Rend attack.""]}]","[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save {@dc 17}):""], ""will"": [""{@spell Detect Magic|XPHB}"", ""{@spell Mind Spike|XPHB} (level 3 version)""], ""daily"": {""1"": [""{@spell Geas|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""action""}]"
Adult Red Dragon,XMM,"[""H""]","{""type"": ""dragon"", ""tags"": [""chromatic""]}","[""C"", ""E""]",[19],"{""average"": 256, ""formula"": ""19d12 + 133""}","{""walk"": 40, ""climb"": 40, ""fly"": 80}",27,10,25,16,13,23,"{""dex"": ""+6"", ""wis"": ""+7""}","{""perception"": ""+13"", ""stealth"": ""+6""}",23,"[""Common"", ""Draconic""]","{""cr"": ""17"", ""xpLair"": 20000}","[{""name"": ""Legendary Resistance (3/Day, or 4/Day in Lair)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast {@spell Scorching Ray|XPHB}.""]}, {""name"": ""Rend"", ""entries"": [""{@atkr m} {@hit 14}, reach 10 ft. {@h}13 ({@damage 1d10 + 8}) Slashing damage plus 5 ({@damage 2d4}) Fire damage.""]}, {""name"": ""Fire Breath {@recharge 5}"", ""entries"": [""{@actSave dex} {@dc 21}, each creature in a 60-foot {@variantrule Cone [Area of Effect]|XPHB|Cone}. {@actSaveFail} 59 ({@damage 17d6}) Fire damage. {@actSaveSuccess} Half damage.""]}]",,,"[{""name"": ""Commanding Presence"", ""entries"": [""The dragon uses Spellcasting to cast {@spell Command|XPHB} (level 2 version). The dragon can't take this action again until the start of its next turn.""]}, {""name"": ""Fiery Rays"", ""entries"": [""The dragon uses Spellcasting to cast {@spell Scorching Ray|XPHB}. The dragon can't take this action again until the start of its next turn.""]}, {""name"": ""Pounce"", ""entries"": [""The dragon moves up to half its {@variantrule Speed|XPHB}, and it makes one Rend attack.""]}]","[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save {@dc 20}, {@hit 12} to hit with spell attacks):""], ""will"": [""{@spell Command|XPHB} (level 2 version)"", ""{@spell Detect Magic|XPHB}"", ""{@spell Scorching Ray|XPHB}""], ""daily"": {""1"": [""{@spell Fireball|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""action""}]"
Adult Silver Dragon,XMM,"[""H""]","{""type"": ""dragon"", ""tags"": [""metallic""]}","[""L"", ""G""]",[19],"{""average"": 216, ""formula"": ""16d12 + 112""}","{""walk"": 40, ""fly"": 80}",27,10,25,16,13,22,"{""dex"": ""+5"", ""wis"": ""+6""}","{""history"": ""+8"", ""perception"": ""+11"", ""stealth"": ""+5""}",21,"[""Common"", ""Draconic""]","{""cr"": ""16"", ""xpLair"": 18000}","[{""name"": ""Legendary Resistance (3/Day, or 4/Day in Lair)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon makes three Rend attacks. It can replace one attack with a use of (A) Paralyzing Breath or (B) Spellcasting to cast {@spell Ice Knife|XPHB}.""]}, {""name"": ""Rend"", ""entries"": [""{@atkr m} {@hit 13}, reach 10 ft. {@h}17 ({@damage 2d8 + 8}) Slashing damage plus 4 ({@damage 1d8}) Cold damage.""]}, {""name"": ""Cold Breath {@recharge 5}"", ""entries"": [""{@actSave con} {@dc 20}, each creature in a 60-foot {@variantrule Cone [Area of Effect]|XPHB|Cone}. {@actSaveFail} 54 ({@damage 12d8}) Cold damage. {@actSaveSuccess} Half damage.""]}, {""name"": ""Paralyzing Breath"", ""entries"": [""{@actSave con} {@dc 20}, each creature in a 60-foot {@variantrule Cone [Area of Effect]|XPHB|Cone}. {@actSaveFail 1} The target has the {@condition Incapacitated|XPHB} condition until the end of its next turn, when it repeats the save. {@actSaveFail 2} The target has the {@condition Paralyzed|XPHB} condition, and it repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.""]}]",,,"[{""name"": ""Chill"", ""entries"": [""The dragon uses Spellcasting to cast {@spell Hold Monster|XPHB}. The dragon can't take this action again until the start of its next turn.""]}, {""name"": ""Cold Gale"", ""entries"": [""{@actSave dex} {@dc 19}, each creature in a 60-foot-long, 10-foot-wide {@variantrule Line [Area of Effect]|XPHB|Line}. {@actSaveFail} 14 ({@damage 4d6}) Cold damage, and the target is pushed up to 30 feet straight away from the dragon. {@actSaveSuccess} Half damage only. {@actSaveSuccessOrFail} The dragon can't take this action again until the start of its next turn.""]}, {""name"": ""Pounce"", ""entries"": [""The dragon moves up to half its {@variantrule Speed|XPHB}, and it makes one Rend attack.""]}]","[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save {@dc 19}, {@hit 11} to hit with spell attacks):""], ""will"": [""{@spell Detect Magic|XPHB}"", ""{@spell Hold Monster|XPHB}"", ""{@spell Ice Knife|XPHB}"", ""{@spell Shapechange|XPHB} (Beast or Humanoid form only, no {@variantrule Temporary Hit Points|XPHB} gained from the spell, and no Concentration or {@variantrule Temporary Hit Points|XPHB} required to maintain the spell)""], ""daily"": {""1e"": [""{@spell Ice Storm|XPHB} (level 5 version)"", ""{@spell Zone of Truth|XPHB}""]}, ""ability"": ""cha"", ""displayAs"": ""action""}]"
